RDD/BTC ; 4e-008 ; 1.01283e+008 ; 
RPC/BTC ; 0.00058251 ; 892.324 ; 
RYC/BTC ; 1.31e-006 ; 8160.12 ; 
SAT/BTC ; 1e-008 ; 8.86882e+007 ; 
SBC/BTC ; 2.18e-006 ; 28873.1 ; 
SMC/BTC ; 1.68e-006 ; 11499.9 ; 
SPA/BTC ; 2.55e-006 ; 105212 ; 
SPT/BTC ; 6.75e-006 ; 21533.5 ; 
SRC/BTC ; 0.00015008 ; 2435.66 ; 
STR/BTC ; 3.4e-007 ; 53312.3 ; 
SXC/BTC ; 4.07e-006 ; 179578 ; 
TAG/BTC ; 0.00018624 ; 4983 ; 
TAK/BTC ; 7e-008 ; 1.20421e+006 ; 
TEK/BTC ; 0.00041055 ; 3402.79 ; 
TGC/BTC ; 1.16e-006 ; 63506.8 ; 
TRC/BTC ; 8.153e-005 ; 15159.8 ; 
UNB/BTC ; 1.45e-005 ; 20936.6 ; 
UNO/BTC ; 0.00411422 ; 654.215 ; 
USDe/BTC ; 9.4e-007 ; 1.43418e+007 ; 
UTC/BTC ; 1.95e-005 ; 104078 ; 
VTC/BTC ; 0.00143116 ; 31922.8 ; 
WC/BTC ; 9.7e-007 ; 2.7995e+006 ; 
WDC/BTC ; 3.832e-005 ; 432141 ; 
XC/BTC ; 0.00210044 ; 104873 ; 
XJO/BTC ; 4.22e-006 ; 81461.1 ; 
XLB/BTC ; 3.201e-005 ; 246139 ; 
XPM/BTC ; 0.00092045 ; 3647.05 ; 
YAC/BTC ; 7.79e-006 ; 50900.1 ; 
YBC/BTC ; 0.00171365 ; 220.954 ; 
ZCC/BTC ; 3.807e-005 ; 1157.06 ; 
ZED/BTC ; 6.75e-006 ; 17198.6 ; 
ZET/BTC ; 2.338e-005 ; 367027 ; 
ADT/LTC ; 1.4e-007 ; 2.51504e+008 ; 
ANC/LTC ; 0.0813482 ; 220.785 ; 
ASC/LTC ; 6.16e-006 ; 1.30163e+006 ; 
AUR/LTC ; 0.0210522 ; 1514.5 ; 
BAT/LTC ; 7e-008 ; 8.83131e+007 ; 
BC/LTC ; 0.0182213 ; 53427.8 ; 
CGB/LTC ; 0.0199998 ; 287.395 ; 
CNC/LTC ; 9.138e-005 ; 3479.48 ; 
COL/LTC ; 2e-008 ; 7.27175e+007 ; 
CPR/LTC ; 0.394154 ; 6.4168 ; 
CTM/LTC ; 4e-008 ; 1.6416e+009 ; 
DBL/LTC ; 0.00165997 ; 424.223 ; 
DGC/LTC ; 0.0018 ; 12565.8 ; 
DIME/LTC ; 3e-008 ; 5.43267e+008 ; 
DMC/LTC ; 2e-008 ; 1.57445e+008 ; 
DOGE/LTC ; 3.418e-005 ; 6.10117e+007 ; 
DVC/LTC ; 7.3e-006 ; 3.73672e+006 ; 
ELP/LTC ; 1.67e-005 ; 274426 ; 
EZC/LTC ; 9.333e-005 ; 1165.1 ; 
FLO/LTC ; 8.251e-005 ; 219365 ; 
FRK/LTC ; 0.0249803 ; 6.22126 ; 
FST/LTC ; 0.000127 ; 370138 ; 
GLD/LTC ; 0.00090372 ; 1102.32 ; 
GME/LTC ; 3.28e-006 ; 417946 ; 
IFC/LTC ; 1.48e-006 ; 3.65485e+007 ; 
JKC/LTC ; 0.0001396 ; 34055.7 ; 
KARM/LTC ; 6.6e-007 ; 1.45633e+008 ; 
MEC/LTC ; 0.007357 ; 9391.2 ; 
MEM/LTC ; 3.359e-005 ; 325731 ; 
MOON/LTC ; 5e-008 ; 8.44067e+008 ; 
MST/LTC ; 2.111e-005 ; 139837 ; 
NET/LTC ; 7.989e-005 ; 267066 ; 
NXT/LTC ; 0.0053 ; 22940.4 ; 
PPC/LTC ; 0.179 ; 553.152 ; 
PXC/LTC ; 0.00011603 ; 23474.9 ; 
QRK/LTC ; 0.00140001 ; 18834 ; 
RBBT/LTC ; 3e-008 ; 2.73302e+008 ; 
RDD/LTC ; 2.1e-006 ; 1.20607e+008 ; 
RED/LTC ; 0.00020991 ; 30576.9 ; 
RYC/LTC ; 7.181e-005 ; 330.566 ; 
SBC/LTC ; 0.0001206 ; 11806.6 ; 
SXC/LTC ; 0.00021942 ; 11622.7 ; 
TIPS/LTC ; 6e-008 ; 1.65333e+009 ; 
TIX/LTC ; 4.1e-007 ; 1.17044e+007 ; 
WDC/LTC ; 0.00201538 ; 36134.7 ; 
XNC/LTC ; 3.64e-006 ; 85431.7 ; 
XPM/LTC ; 0.051 ; 298.352 ; 
YAC/LTC ; 0.00043772 ; 10836.3 ; 
ZEIT/LTC ; 8.7e-007 ; 3.74239e+007 ; 
ZET/LTC ; 0.00127311 ; 22114.2 ; 
BTC/USD ; 0 ; 0 ; 
DOGE/USD ; 0 ; 0 ; 
DRK/USD ; 0 ; 0 ; 
FTC/USD ; 0 ; 0 ; 
LTC/USD ; 0 ; 0 ; 
